Fecha,DXY,VIX,Inflacion_USA
2022-08-11,105.08999633789062,25.54,295.162
2022-08-12,105.62999725341797,22.29,295.162
2022-08-15,106.55000305175781,,295.162
2022-08-16,106.5,,295.162
2022-08-17,106.56999969482422,,295.162
2022-08-18,107.4800033569336,,295.162
2022-08-19,108.16999816894531,,295.162
2022-08-22,109.05000305175781,,295.162
2022-08-23,108.62000274658203,,295.162
2022-08-24,108.68000030517578,,295.162
2022-08-25,108.47000122070312,,295.162
2022-08-26,108.80000305175781,,295.162
2022-08-29,108.83999633789062,,295.162
2022-08-30,108.7699966430664,,295.162
2022-08-31,108.69999694824219,,295.162
2022-09-01,109.69000244140625,,296.421
2022-09-02,109.52999877929688,19.96,296.421
2022-09-06,110.20999908447266,26.09,296.421
2022-09-07,109.83999633789062,,296.421
2022-09-08,109.70999908447266,21.77,296.421
2022-09-09,109.0,22.79,296.421
2022-09-12,108.33000183105469,22.83,296.421
2022-09-13,109.81999969482422,,296.421
2022-09-14,109.66000366210938,,296.421
2022-09-15,109.73999786376953,,296.421
2022-09-16,109.76000213623047,,296.421
2022-09-19,109.73999786376953,,296.421
2022-09-20,110.22000122070312,,296.421
2022-09-21,110.63999938964844,,296.421
2022-09-22,111.3499984741211,,296.421
2022-09-23,113.19000244140625,,296.421
2022-09-26,114.0999984741211,,296.421
2022-09-27,114.11000061035156,,296.421
2022-09-28,112.5999984741211,,296.421
2022-09-29,112.25,,296.421
2022-09-30,112.12000274658203,,296.421
2022-10-03,111.75,30.23,296.421
2022-10-04,110.06999969482422,,296.421
2022-10-05,111.06999969482422,32.99,296.421
2022-10-06,112.26000213623047,27.75,296.421
2022-10-07,112.80000305175781,,296.421
2022-10-10,113.13999938964844,32.45,296.421
2022-10-11,113.22000122070312,23.53,296.421
2022-10-12,113.31999969482422,,296.421
2022-10-13,112.36000061035156,,296.421
2022-10-14,113.30999755859375,,296.421
2022-10-17,112.04000091552734,,296.421
2022-10-18,112.12999725341797,,296.421
2022-10-19,112.9800033569336,,296.421
2022-10-20,112.87999725341797,,296.421
2022-10-21,112.01000213623047,,296.421
2022-10-24,111.98999786376953,,296.421
2022-10-25,110.94999694824219,,296.421
2022-10-26,109.69999694824219,,296.421
2022-10-27,110.58999633789062,,296.421
2022-10-28,110.66999816894531,,296.421
2022-10-31,111.52999877929688,,296.421
2022-11-01,111.4800033569336,18.41,298.708
2022-11-02,111.3499984741211,27.36,298.708
2022-11-03,112.93000030517578,30.75,298.708
2022-11-04,110.87999725341797,24.37,298.708
2022-11-07,110.12000274658203,26.17,298.708
2022-11-08,109.62000274658203,20.2,298.708
2022-11-09,110.55000305175781,,298.708
2022-11-10,108.20999908447266,33.63,298.708
2022-11-11,106.29000091552734,22.52,298.708
2022-11-14,106.66000366210938,,298.708
2022-11-15,106.4000015258789,,298.708
2022-11-16,106.27999877929688,,298.708
2022-11-17,106.69000244140625,,298.708
2022-11-18,106.93000030517578,,298.708
2022-11-21,107.83999633789062,,298.708
2022-11-22,107.22000122070312,,298.708
2022-11-23,106.08000183105469,,298.708
2022-11-25,105.95999908447266,,298.708
2022-11-28,106.68000030517578,,298.708
2022-11-29,106.81999969482422,,298.708
2022-11-30,105.94999694824219,,298.708
2022-12-01,104.7300033569336,17.62,298.808
2022-12-02,104.55000305175781,,298.808
2022-12-05,105.29000091552734,31.77,298.808
2022-12-06,105.58000183105469,,298.808
2022-12-07,105.0999984741211,27.29,298.808
2022-12-08,104.7699966430664,19.53,298.808
2022-12-09,104.80999755859375,23.87,298.808
2022-12-12,105.12999725341797,25.0,298.808
2022-12-13,103.9800033569336,,298.808
2022-12-14,103.7699966430664,,298.808
2022-12-15,104.55999755859375,,298.808
2022-12-16,104.69999694824219,,298.808
2022-12-19,104.72000122070312,,298.808
2022-12-20,103.97000122070312,,298.808
2022-12-21,104.16000366210938,,298.808
2022-12-22,104.43000030517578,,298.808
2022-12-23,104.30999755859375,,298.808
2022-12-27,104.18000030517578,,298.808
2022-12-28,104.45999908447266,,298.808
2022-12-29,103.83999633789062,,298.808
2022-12-30,103.5199966430664,,298.808
2023-01-03,104.5199966430664,20.58,298.808
2023-01-04,104.25,,298.808
2023-01-05,105.04000091552734,16.08,298.808
2023-01-06,103.87999725341797,15.65,298.808
2023-01-09,103.0,13.09,298.808
2023-01-10,103.23999786376953,,298.808
2023-01-11,103.19000244140625,16.87,298.808
2023-01-12,102.25,12.63,298.808
2023-01-13,102.19999694824219,,298.808
2023-01-17,102.38999938964844,,298.808
2023-01-18,102.36000061035156,,298.808
2023-01-19,102.05999755859375,,298.808
2023-01-20,102.01000213623047,,298.808
2023-01-23,102.13999938964844,,298.808
2023-01-24,101.91999816894531,,298.808
2023-01-25,101.63999938964844,,298.808
2023-01-26,101.83999633789062,,298.808
2023-01-27,101.93000030517578,,298.808
2023-01-30,102.27999877929688,,298.808
2023-01-31,102.0999984741211,,298.808
2023-02-01,101.22000122070312,,301.476
2023-02-02,101.75,18.73,301.476
2023-02-03,102.91999816894531,19.59,301.476
2023-02-06,103.62000274658203,14.6,301.476
2023-02-07,103.43000030517578,,301.476
2023-02-08,103.41000366210938,16.09,301.476
2023-02-09,103.22000122070312,,301.476
2023-02-10,103.62999725341797,17.61,301.476
2023-02-13,103.3499984741211,,301.476
2023-02-14,103.2300033569336,,301.476
2023-02-15,103.91999816894531,,301.476
2023-02-16,103.86000061035156,,301.476
2023-02-17,103.86000061035156,,301.476
2023-02-21,104.18000030517578,,301.476
2023-02-22,104.58999633789062,,301.476
2023-02-23,104.5999984741211,,301.476
2023-02-24,105.20999908447266,,301.476
2023-02-27,104.66999816894531,,301.476
2023-02-28,104.87000274658203,,301.476
2023-03-01,104.4800033569336,22.9,301.643
2023-03-02,105.02999877929688,18.33,301.643
2023-03-03,104.5199966430664,18.49,301.643
2023-03-06,104.3499984741211,,301.643
2023-03-07,105.62000274658203,13.57,301.643
2023-03-08,105.66000366210938,15.92,301.643
2023-03-09,105.30999755859375,,301.643
2023-03-10,104.58000183105469,19.78,301.643
2023-03-13,103.5999984741211,,301.643
2023-03-14,103.5999984741211,,301.643
2023-03-15,104.6500015258789,,301.643
2023-03-16,104.41999816894531,,301.643
2023-03-17,103.70999908447266,,301.643
2023-03-20,103.27999877929688,,301.643
2023-03-21,103.26000213623047,,301.643
2023-03-22,102.3499984741211,,301.643
2023-03-23,102.52999877929688,,301.643
2023-03-24,103.12000274658203,,301.643
2023-03-27,102.86000061035156,,301.643
2023-03-28,102.43000030517578,,301.643
2023-03-29,102.63999938964844,,301.643
2023-03-30,102.13999938964844,,301.643
2023-03-31,102.51000213623047,,301.643
2023-04-03,102.08999633789062,,301.643
2023-04-04,101.58999633789062,19.0,301.643
2023-04-05,101.8499984741211,20.09,301.643
2023-04-06,101.81999969482422,,301.643
2023-04-10,102.58000183105469,18.58,301.643
2023-04-11,102.19999694824219,,301.643
2023-04-12,101.5,13.08,301.643
2023-04-13,101.01000213623047,,301.643
2023-04-14,101.55000305175781,,301.643
2023-04-17,102.0999984741211,,301.643
2023-04-18,101.75,,301.643
2023-04-19,101.97000122070312,,301.643
2023-04-20,101.83999633789062,,301.643
2023-04-21,101.81999969482422,,301.643
2023-04-24,101.3499984741211,,301.643
2023-04-25,101.86000061035156,,301.643
2023-04-26,101.47000122070312,,301.643
2023-04-27,101.5,,301.643
2023-04-28,101.66999816894531,,301.643
2023-05-01,102.1500015258789,22.46,303.316
2023-05-02,101.95999908447266,,303.316
2023-05-03,101.33999633789062,,303.316
2023-05-04,101.4000015258789,19.08,303.316
2023-05-05,101.20999908447266,17.19,303.316
2023-05-08,101.37000274658203,,303.316
2023-05-09,101.61000061035156,14.01,303.316
2023-05-10,101.4800033569336,18.49,303.316
2023-05-11,102.05999755859375,,303.316
2023-05-12,102.68000030517578,12.85,303.316
2023-05-15,102.43000030517578,,303.316
2023-05-16,102.55999755859375,,303.316
2023-05-17,102.87999725341797,,303.316
2023-05-18,103.58000183105469,,303.316
2023-05-19,103.19999694824219,,303.316
2023-05-22,103.19999694824219,,303.316
2023-05-23,103.48999786376953,,303.316
2023-05-24,103.88999938964844,,303.316
2023-05-25,104.20999908447266,,303.316
2023-05-26,104.20999908447266,,303.316
2023-05-30,104.16999816894531,,303.316
2023-05-31,104.31999969482422,,303.316
2023-06-01,103.55999755859375,21.13,304.099
2023-06-02,104.0199966430664,19.43,304.099
2023-06-05,104.0,,304.099
2023-06-06,104.12999725341797,13.96,304.099
2023-06-07,104.0999984741211,15.44,304.099
2023-06-08,103.33999633789062,,304.099
2023-06-09,103.55999755859375,14.45,304.099
2023-06-12,103.62999725341797,12.97,304.099
2023-06-13,103.33999633789062,,304.099
2023-06-14,103.01000213623047,,304.099
2023-06-15,102.12000274658203,,304.099
2023-06-16,102.30000305175781,,304.099
2023-06-20,102.54000091552734,,304.099
2023-06-21,102.06999969482422,,304.099
2023-06-22,102.38999938964844,,304.099
2023-06-23,102.9000015258789,,304.099
2023-06-26,102.69000244140625,,304.099
2023-06-27,102.48999786376953,,304.099
2023-06-28,102.91000366210938,,304.099
2023-06-29,103.33999633789062,,304.099
2023-06-30,102.91000366210938,,304.099
2023-07-03,102.98999786376953,19.59,304.099
2023-07-05,103.37000274658203,,304.099
2023-07-06,103.16999816894531,13.94,304.099
2023-07-07,102.2699966430664,14.83,304.099
2023-07-10,101.97000122070312,,304.099
2023-07-11,101.7300033569336,14.81,304.099
2023-07-12,100.5199966430664,13.06,304.099
2023-07-13,99.7699966430664,,304.099
2023-07-14,99.91000366210938,,304.099
2023-07-17,99.83999633789062,,304.099
2023-07-18,99.94000244140625,,304.099
2023-07-19,100.27999877929688,,304.099
2023-07-20,100.87999725341797,,304.099
2023-07-21,101.06999969482422,,304.099
2023-07-24,101.3499984741211,,304.099
2023-07-25,101.3499984741211,,304.099
2023-07-26,100.88999938964844,,304.099
2023-07-27,101.7699966430664,,304.099
2023-07-28,101.62000274658203,,304.099
2023-07-31,101.86000061035156,,304.099
2023-08-01,102.30000305175781,,306.138
2023-08-02,102.58999633789062,19.63,306.138
2023-08-03,102.54000091552734,19.11,306.138
2023-08-04,102.0199966430664,,306.138
2023-08-07,102.05000305175781,,306.138
2023-08-08,102.52999877929688,15.99,306.138
2023-08-09,102.48999786376953,13.84,306.138
2023-08-10,102.5199966430664,,306.138
2023-08-11,102.83999633789062,14.45,306.138
2023-08-14,103.19000244140625,,306.138
2023-08-15,103.20999908447266,,306.138
2023-08-16,103.41999816894531,,306.138
2023-08-17,103.44000244140625,,306.138
2023-08-18,103.37999725341797,,306.138
2023-08-21,103.33000183105469,,306.138
2023-08-22,103.55999755859375,,306.138
2023-08-23,103.36000061035156,,306.138
2023-08-24,103.9800033569336,,306.138
2023-08-25,104.08000183105469,,306.138
2023-08-28,104.05999755859375,,306.138
2023-08-29,103.55000305175781,,306.138
2023-08-30,103.16000366210938,,306.138
2023-08-31,103.62000274658203,,306.138
2023-09-01,104.23999786376953,21.97,307.374
2023-09-05,104.80999755859375,17.71,307.374
2023-09-06,104.86000061035156,13.83,307.374
2023-09-07,105.05999755859375,,307.374
2023-09-08,105.08999633789062,15.96,307.374
2023-09-11,104.56999969482422,15.29,307.374
2023-09-12,104.70999908447266,,307.374
2023-09-13,104.7699966430664,,307.374
2023-09-14,105.41000366210938,,307.374
2023-09-15,105.31999969482422,,307.374
2023-09-18,105.19999694824219,,307.374
2023-09-19,105.19999694824219,,307.374
2023-09-20,105.16000366210938,,307.374
2023-09-21,105.36000061035156,,307.374
2023-09-22,105.58000183105469,,307.374
2023-09-25,106.0,,307.374
2023-09-26,106.2300033569336,,307.374
2023-09-27,106.66999816894531,,307.374
